"county_geoid","place_geoid","tract_geoid","county","place","tract","county_pop","place_pop","tract_pop","overlap_percent"
6037,644000,6037211910,"Los Angeles","Los Angeles","Census Tract 2119.10, Los Angeles County, California",10081570,3966936,4371,1
6037,644000,6037212303,"Los Angeles","Los Angeles","Census Tract 2123.03, Los Angeles County, California",10081570,3966936,3837,1
6037,644000,6037212304,"Los Angeles","Los Angeles","Census Tract 2123.04, Los Angeles County, California",10081570,3966936,1832,1
6073,653322,6073018512,"San Diego","Oceanside","Census Tract 185.12, San Diego County, California",3316073,175622,3960,1
6073,611194,6073020015,"San Diego","Carlsbad","Census Tract 200.15, San Diego County, California",3316073,114253,5001,1
6037,644000,6037212900,"Los Angeles","Los Angeles","Census Tract 2129, Los Angeles County, California",10081570,3966936,4067,1
6037,640032,6037503602,"Los Angeles","La Mirada","Census Tract 5036.02, Los Angeles County, California",10081570,48764,4212,1
6037,621292,6037503701,"Los Angeles","East Whittier CDP","Census Tract 5037.01, Los Angeles County, California",10081570,10356,4840,1
6037,685292,6037503702,"Los Angeles","Whittier","Census Tract 5037.02, Los Angeles County, California",10081570,86090,5516,0.00770455896739142
6037,621292,6037503702,"Los Angeles","East Whittier CDP","Census Tract 5037.02, Los Angeles County, California",10081570,10356,5516,0.973265240487504
6037,640032,6037503702,"Los Angeles","La Mirada","Census Tract 5037.02, Los Angeles County, California",10081570,48764,5516,0.0190302005451045
6037,639556,6037901209,"Los Angeles","Lake Hughes CDP","Census Tract 9012.09, Los Angeles County, California",10081570,520,1634,1
6037,669088,6037910809,"Los Angeles","Santa Clarita","Census Tract 9108.09, Los Angeles County, California",10081570,213411,2070,1
6037,680000,6037651302,"Los Angeles","Torrance","Census Tract 6513.02, Los Angeles County, California",10081570,145492,6204,1
6037,643000,6037575002,"Los Angeles","Long Beach","Census Tract 5750.02, Los Angeles County, California",10081570,466776,4843,1
6111,665042,6111002600,"Ventura","San Buenaventura (Ventura)","Census Tract 26, Ventura County, California",847263,109910,3010,1
6085,649670,6085509108,"Santa Clara","Mountain View","Census Tract 5091.08, Santa Clara County, California",1927470,81656,4428,1
6073,666000,6073017051,"San Diego","San Diego","Census Tract 170.51, San Diego County, California",3316073,1409573,5188,1
6073,659550,6073013605,"San Diego","Rancho San Diego CDP","Census Tract 136.05, San Diego County, California",3316073,21799,6227,0.642425491351907
6073,611691,6073013605,"San Diego","Casa de Oro-Mount Helix CDP","Census Tract 136.05, San Diego County, California",3316073,19804,6227,0.357574508648093
6065,667112,6065043509,"Riverside","San Jacinto","Census Tract 435.09, Riverside County, California",2411439,47989,5404,1
6111,654652,6111003012,"Ventura","Oxnard","Census Tract 30.12, Ventura County, California",847263,208154,675,1
6037,673430,6037503201,"Los Angeles","South Whittier CDP","Census Tract 5032.01, Los Angeles County, California",10081570,60357,4144,1
6095,623182,6095252312,"Solano","Fairfield","Census Tract 2523.12, Solano County, California",441829,115282,4038,1
6017,673108,6017030502,"El Dorado","South Lake Tahoe","Census Tract 305.02, El Dorado County, California",188563,21939,2551,1
6037,609598,6037800203,"Los Angeles","Calabasas","Census Tract 8002.03, Los Angeles County, California",10081570,23988,5533,0.203338244887905
6037,633518,6037800203,"Los Angeles","Hidden Hills","Census Tract 8002.03, Los Angeles County, California",10081570,1751,5533,0.796661755112095
6073,666000,6073000600,"San Diego","San Diego","Census Tract 6, San Diego County, California",3316073,1409573,3207,1
6033,613945,6033000802,"Lake","Clearlake","Census Tract 8.02, Lake County, California",64195,15349,4617,1
6079,622300,6079010201,"San Luis Obispo","El Paso de Robles (Paso Robles)","Census Tract 102.01, San Luis Obispo County, California",282165,31822,7491,1
6077,675000,6077003108,"San Joaquin","Stockton","Census Tract 31.08, San Joaquin County, California",742603,309228,4599,1
6111,665042,6111002700,"Ventura","San Buenaventura (Ventura)","Census Tract 27, Ventura County, California",847263,109910,4398,1
6065,637692,6065040202,"Riverside","Jurupa Valley","Census Tract 402.02, Riverside County, California",2411439,105653,3342,1
6001,653000,6001404900,"Alameda","Oakland","Census Tract 4049, Alameda County, California",1656754,425097,4197,1
6029,603526,6029002900,"Kern","Bakersfield","Census Tract 29, Kern County, California",887641,377917,7424,1
6107,636910,6107000800,"Tulare","Ivanhoe CDP","Census Tract 8, Tulare County, California",461898,4215,7837,0.817910585646653
6107,671078,6107000800,"Tulare","Seville CDP","Census Tract 8, Tulare County, California",461898,614,7837,0.182089414353347
6073,666000,6073003603,"San Diego","San Diego","Census Tract 36.03, San Diego County, California",3316073,1409573,3907,1
6097,616560,6097151204,"Sonoma","Cotati","Census Tract 1512.04, Sonoma County, California",499772,7454,2987,1
6037,669088,6037910808,"Los Angeles","Santa Clarita","Census Tract 9108.08, Los Angeles County, California",10081570,213411,3445,0.560654545491295
6037,600450,6037910808,"Los Angeles","Agua Dulce CDP","Census Tract 9108.08, Los Angeles County, California",10081570,3742,3445,0.439345454508705
6037,644000,6037238310,"Los Angeles","Los Angeles","Census Tract 2383.10, Los Angeles County, California",10081570,3966936,5002,1
6085,668000,6085512025,"Santa Clara","San Jose","Census Tract 5120.25, Santa Clara County, California",1927470,1027690,3124,1
6037,602462,6037430802,"Los Angeles","Arcadia","Census Tract 4308.02, Los Angeles County, California",10081570,58152,4586,1
6081,620956,6081612100,"San Mateo","East Palo Alto","Census Tract 6121, San Mateo County, California",767423,29593,8646,0.607974573379631
6081,646870,6081612100,"San Mateo","Menlo Park","Census Tract 6121, San Mateo County, California",767423,34138,8646,0.392025426620369
6081,665028,6081614000,"San Mateo","San Bruno","Census Tract 6140, San Mateo County, California",767423,43083,5695,1
6065,655254,6065044602,"Riverside","Palm Springs","Census Tract 446.02, Riverside County, California",2411439,47897,2907,1
6029,603526,6029003807,"Kern","Bakersfield","Census Tract 38.07, Kern County, California",887641,377917,3745,0.297149661190027
6029,630938,6029003807,"Kern","Greenacres CDP","Census Tract 38.07, Kern County, California",887641,5911,3745,0.702850338809973
6001,653000,6001981900,"Alameda","Oakland","Census Tract 9819, Alameda County, California",1656754,425097,58,1
6107,686300,6107000701,"Tulare","Woodlake","Census Tract 7.01, Tulare County, California",461898,7622,2425,1
6013,646114,6013321200,"Contra Costa","Martinez","Census Tract 3212, Contra Costa County, California",1142251,38290,5634,0.0238044011165366
